loop_count=1000/480000, max_score=565.748, min_score=332.175, time=0.207221h
loop_count=2000/480000, max_score=677.649, min_score=444.56, time=0.467751h
loop_count=3000/480000, max_score=736.375, min_score=506.491, time=0.69317h
loop_count=4000/480000, max_score=736.375, min_score=543.829, time=0.950984h
loop_count=5000/480000, max_score=774.563, min_score=573.646, time=1.20457h
loop_count=6000/480000, max_score=774.563, min_score=594.936, time=1.47985h
loop_count=7000/480000, max_score=774.563, min_score=613.255, time=1.76267h
loop_count=8000/480000, max_score=807.89, min_score=633.172, time=2.08361h
loop_count=9000/480000, max_score=818.317, min_score=656.955, time=2.46404h
loop_count=10000/480000, max_score=837.098, min_score=678.411, time=2.91566h
loop_count=11000/480000, max_score=837.098, min_score=698.285, time=3.35541h
loop_count=12000/480000, max_score=837.098, min_score=713.641, time=3.87615h
loop_count=13000/480000, max_score=843.544, min_score=730.846, time=4.40273h
loop_count=14000/480000, max_score=847.192, min_score=740.149, time=4.97203h
loop_count=15000/480000, max_score=847.192, min_score=749.385, time=5.63869h
loop_count=16000/480000, max_score=848.267, min_score=757.706, time=6.31036h
loop_count=17000/480000, max_score=848.267, min_score=766.648, time=6.97206h
loop_count=18000/480000, max_score=868.115, min_score=776.606, time=7.65892h
loop_count=19000/480000, max_score=876.396, min_score=782.271, time=8.38252h
loop_count=20000/480000, max_score=876.396, min_score=788.213, time=9.07158h
loop_count=21000/480000, max_score=880.816, min_score=793.787, time=9.73105h
loop_count=22000/480000, max_score=880.816, min_score=798.069, time=10.3209h
loop_count=23000/480000, max_score=880.816, min_score=804.266, time=11.0522h
loop_count=24000/480000, max_score=880.816, min_score=808.437, time=11.7895h
loop_count=25000/480000, max_score=880.816, min_score=811.206, time=12.5179h
loop_count=26000/480000, max_score=880.816, min_score=815.855, time=13.24h
loop_count=27000/480000, max_score=880.816, min_score=818.994, time=13.9471h
loop_count=28000/480000, max_score=882.239, min_score=823.006, time=14.6619h
loop_count=29000/480000, max_score=882.239, min_score=825.115, time=15.4153h
loop_count=30000/480000, max_score=882.239, min_score=826.751, time=16.2353h
loop_count=31000/480000, max_score=882.239, min_score=829.787, time=17.0263h
loop_count=32000/480000, max_score=885.772, min_score=832.177, time=17.8373h
loop_count=33000/480000, max_score=885.772, min_score=834.118, time=18.5534h
loop_count=34000/480000, max_score=885.772, min_score=835.524, time=19.3251h
loop_count=35000/480000, max_score=895.133, min_score=837.098, time=20.0822h
loop_count=36000/480000, max_score=895.133, min_score=837.098, time=20.8906h
loop_count=37000/480000, max_score=895.133, min_score=840.275, time=21.7469h
loop_count=38000/480000, max_score=895.133, min_score=844.02, time=22.5911h
loop_count=39000/480000, max_score=895.133, min_score=847.192, time=23.4603h
loop_count=40000/480000, max_score=895.133, min_score=848.964, time=24.3184h
loop_count=41000/480000, max_score=895.133, min_score=851.541, time=25.2138h
loop_count=42000/480000, max_score=895.133, min_score=854.419, time=26.1278h
loop_count=43000/480000, max_score=895.133, min_score=856.879, time=27.0866h
loop_count=44000/480000, max_score=895.133, min_score=860.188, time=28.0317h
loop_count=45000/480000, max_score=895.133, min_score=860.534, time=29.0546h
loop_count=46000/480000, max_score=895.133, min_score=864.363, time=30.0736h
loop_count=47000/480000, max_score=895.133, min_score=867.726, time=31.0478h
loop_count=48000/480000, max_score=895.133, min_score=869.578, time=31.9927h
loop_count=49000/480000, max_score=895.133, min_score=871.929, time=32.988h
loop_count=50000/480000, max_score=895.133, min_score=874.438, time=33.963h
loop_count=51000/480000, max_score=895.133, min_score=875.278, time=34.9801h
loop_count=52000/480000, max_score=921.597, min_score=876.396, time=35.9912h
loop_count=53000/480000, max_score=921.597, min_score=877.717, time=36.9551h
loop_count=54000/480000, max_score=921.597, min_score=878.239, time=37.9344h
loop_count=55000/480000, max_score=921.597, min_score=879.734, time=39.0014h
loop_count=56000/480000, max_score=921.597, min_score=880.338, time=40.1656h
loop_count=57000/480000, max_score=921.597, min_score=880.816, time=41.3604h
loop_count=58000/480000, max_score=921.597, min_score=881.741, time=42.597h
loop_count=59000/480000, max_score=921.597, min_score=883.244, time=43.9847h
